Ephemeris time,Sol,x1,y1,z1,vx1,vy1,vz1,ang,x2,y2,z2,vx2,vy2,vz2,ang1,px,py,pz,ang3,hga,sol and time
515678556.2,1331,-33195983.55,-70754616.88,-31112935.96,-0.351,8.013,2.641,280.595,33197686.2,70758243.67,31114530.43,0.349,-8.017,-2.643,280.609,33197686.2,70758243.67,31114530.43,280.609,89.72, 1/01331:19:28:32:75125
515678557.2,1331,-33195983.9,-70754608.87,-31112933.32,-0.351,8.013,2.641,280.595,33197686.55,70758235.65,31114527.79,0.349,-8.017,-2.643,280.609,33197686.55,70758235.65,31114527.79,280.609,89.723, 1/01331:19:28:33:72449
515678558.2,1331,-33195984.25,-70754600.86,-31112930.68,-0.351,8.013,2.641,280.595,33197686.9,70758227.64,31114525.15,0.349,-8.017,-2.643,280.609,33197686.9,70758227.64,31114525.15,280.609,89.726, 1/01331:19:28:34:69774
515678559.2,1331,-33195984.6,-70754592.84,-31112928.03,-0.351,8.013,2.641,280.595,33197687.25,70758219.62,31114522.5,0.349,-8.017,-2.643,280.609,33197687.25,70758219.62,31114522.5,280.609,89.729, 1/01331:19:28:35:67098
515678560.2,1331,-33195984.95,-70754584.83,-31112925.39,-0.351,8.013,2.641,280.595,33197687.6,70758211.6,31114519.86,0.349,-8.017,-2.643,280.609,33197687.6,70758211.6,31114519.86,280.609,89.733, 1/01331:19:28:36:64423
515678561.2,1331,-33195985.3,-70754576.82,-31112922.75,-0.351,8.013,2.641,280.595,33197687.95,70758203.59,31114517.22,0.349,-8.017,-2.643,280.609,33197687.95,70758203.59,31114517.22,280.609,89.736, 1/01331:19:28:37:61747
515678562.2,1331,-33195985.65,-70754568.8,-31112920.11,-0.351,8.013,2.641,280.595,33197688.3,70758195.57,31114514.58,0.349,-8.017,-2.643,280.609,33197688.3,70758195.57,31114514.58,280.609,89.739, 1/01331:19:28:38:59071
515678563.2,1331,-33195986,-70754560.79,-31112917.47,-0.351,8.013,2.641,280.595,33197688.65,70758187.55,31114511.93,0.349,-8.017,-2.643,280.609,33197688.65,70758187.55,31114511.93,280.609,89.742, 1/01331:19:28:39:56396
515678564.2,1331,-33195986.35,-70754552.78,-31112914.83,-0.351,8.013,2.641,280.594,33197689,70758179.53,31114509.29,0.349,-8.017,-2.643,280.609,33197689,70758179.53,31114509.29,280.609,89.745, 1/01331:19:28:40:53720
515678565.2,1331,-33195986.7,-70754544.76,-31112912.19,-0.351,8.013,2.641,280.594,33197689.35,70758171.52,31114506.65,0.349,-8.017,-2.643,280.609,33197689.35,70758171.52,31114506.65,280.609,89.748, 1/01331:19:28:41:51045
515678566.2,1331,-33195987.06,-70754536.75,-31112909.55,-0.351,8.013,2.641,280.594,33197689.69,70758163.5,31114504,0.349,-8.017,-2.643,280.609,33197689.69,70758163.5,31114504,280.609,89.751, 1/01331:19:28:42:48369
515678567.2,1331,-33195987.41,-70754528.74,-31112906.9,-0.351,8.013,2.641,280.594,33197690.04,70758155.48,31114501.36,0.349,-8.017,-2.643,280.609,33197690.04,70758155.48,31114501.36,280.609,89.754, 1/01331:19:28:43:45694
515678568.2,1331,-33195987.76,-70754520.72,-31112904.26,-0.351,8.013,2.641,280.594,33197690.39,70758147.47,31114498.72,0.349,-8.017,-2.643,280.609,33197690.39,70758147.47,31114498.72,280.609,89.757, 1/01331:19:28:44:43018
515678569.2,1331,-33195988.11,-70754512.71,-31112901.62,-0.351,8.013,2.641,280.594,33197690.74,70758139.45,31114496.08,0.349,-8.017,-2.643,280.609,33197690.74,70758139.45,31114496.08,280.609,89.76, 1/01331:19:28:45:40342
515678570.2,1331,-33195988.46,-70754504.7,-31112898.98,-0.351,8.013,2.641,280.594,33197691.09,70758131.43,31114493.43,0.349,-8.017,-2.643,280.609,33197691.09,70758131.43,31114493.43,280.609,89.763, 1/01331:19:28:46:37667
515678571.2,1331,-33195988.81,-70754496.68,-31112896.34,-0.351,8.013,2.641,280.594,33197691.44,70758123.42,31114490.79,0.349,-8.017,-2.643,280.609,33197691.44,70758123.42,31114490.79,280.609,89.766, 1/01331:19:28:47:34991
515678572.2,1331,-33195989.16,-70754488.67,-31112893.7,-0.351,8.013,2.641,280.594,33197691.79,70758115.4,31114488.15,0.349,-8.017,-2.643,280.609,33197691.79,70758115.4,31114488.15,280.609,89.769, 1/01331:19:28:48:32316
515678573.2,1331,-33195989.51,-70754480.66,-31112891.06,-0.351,8.013,2.641,280.594,33197692.14,70758107.38,31114485.5,0.349,-8.017,-2.643,280.609,33197692.14,70758107.38,31114485.5,280.609,89.772, 1/01331:19:28:49:29640
515678574.2,1331,-33195989.86,-70754472.64,-31112888.42,-0.351,8.013,2.641,280.594,33197692.49,70758099.36,31114482.86,0.349,-8.017,-2.643,280.609,33197692.49,70758099.36,31114482.86,280.609,89.775, 1/01331:19:28:50:26965
515678575.2,1331,-33195990.21,-70754464.63,-31112885.77,-0.351,8.013,2.641,280.594,33197692.84,70758091.35,31114480.22,0.349,-8.017,-2.643,280.609,33197692.84,70758091.35,31114480.22,280.609,89.779, 1/01331:19:28:51:24289
515678576.2,1331,-33195990.56,-70754456.62,-31112883.13,-0.351,8.013,2.641,280.594,33197693.19,70758083.33,31114477.58,0.349,-8.017,-2.643,280.609,33197693.19,70758083.33,31114477.58,280.609,89.782, 1/01331:19:28:52:21613
